,title,content,summary,link,published
0,Taiwan Batalkan Festival Besar Lampion,"elasa membatalkan festival besar selama liburan Tahun Baru Imlek mendatang karena pulau itu melaporkan empat kasus Covid-19 yang ditularkan secara lokal, yang merupakan peningkatan kasus harian terbesar dalam hampir 11 bulan.

Festival Lampion Taiwan, perayaan tahunan untuk menandai akhir Tahun Baru Imlek yang akan datang pada pertengahan Februari, akan dibatalkan tahun ini karena Covid-19.

Ini keputusan yang sulit, tetapi pencegahan pandemi adalah prioritas utama kami, kata Menteri Perhubungan Lin Chia-lung kepada wartawan, Selasa (19/1).

Festival yang menampilkan lampion-lampion besar dan pertunjukan kembang api ini menarik ratusan ribu pengunjung setiap tahun dan telah menjadi nilai jual utama bagi otoritas setempat untuk menarik wisatawan dari luar negeri.

Lin Chih-Chien, wali kota Hsinchu, tempat festival itu akan diadakan, mengatakan beberapa perusahaan teknologi di sana telah meminta otoritas untuk membatalkan acara tersebut, dengan alasan kekhawatiran wabah lokal yang membatasi produksi di pusat teknologi yang menampung perusahaan-perusahaan termasuk pembuat sirkuit terpadu (chip) terbesar di dunia Taiwan Semiconductor Manufacturing Co Ltd.

Pengumuman itu muncul tak lama setelah Taiwan melaporkan empat kasus COVID-19 yang ditularkan secara lokal, terbanyak sejak 29 Februari. Keempat kasus terkait dengan wabah di rumah sakit Taoyuan dan kementerian kesehatan Taiwan berencana untuk memindahkan lebih dari 200 pasien keluar dari rumah sakit ke bangsal isolasi.

Kami sangat menyarankan agar acara berskala besar dibatalkan. Situasi berada di bawah kendali kami saat ini karena kasus-kasus tersebut dapat dilacak dengan jelas, kata Menteri Kesehatan Chen Shih-chung.

Taiwan, yang telah mengendalikan pandemi dengan baik berkat metode pencegahan dini dan efektif, telah dibuat bingung oleh transmisi domestik baru, pertama pada bulan Desember dan sekarang di rumah sakit di kota utara Taoyuan.

Telah dilaporkan 868 kasus, sebagian besar dari luar negeri, termasuk tujuh kematian, dengan 102 orang dirawat di rumah sakit. (Ant/OL-12)","Taiwan pada Selasa membatalkan festival besar selama liburan Tahun Baru Imlek mendatang karena pulau itu melaporkan empat kasus Covid-19 yang ditularkan secara lokal, yang merupakan peningkatan kasus",https://mediaindonesia.com/read/detail/378367-taiwan-batalkan-festival-besar-lampion,2021-01-19 23:55:40
1,"Sebut Bali Ramah LGBT, Kristeb Gray Ditangkap Aparat","h Hukum dan HAM Bali melakukan upaya hukum terhadap seorang warga negara asing bernama Kristen Gray. WNA asal Amerika ini menyebutkan jika Bali adalah destinasi murahan dan ramah bagi kaum lesbian, gay, biseksual dan transgender (LGBT).

Cuitan Gray dalam akun twitter @kristentootie ini viral dan menghebohkan jagat maya. Cuitan Gray tanggal 17 Januari 2021 itu berupa ajakan bagi orang asing untuk pindah ke Bali pada masa pandemic korona. Gray menyatakan bisa memberikan kemudahan masuk ke Bali melalui agen yang direkomendasikan, juga ditawarkan biaya hidup di Bali yang murah, nyaman dan ramah bagi LGBTQ+.

Selain di Twitter, hal tersebut juga dimuat dalam ebook dengan harga USD30 dan dilanjutkan dengan konsultasi seharga USD50 selama 45 menit. Hal ini menjadi trending topic pada media social maupun media mainstream pada 17 dan 18 Januari 2021.

Kepala Kantor Wilayah Hukum dan HAM Bali Jamaruli Manihuruk membenarkan pihaknya menangkap pelaku bernama Kristen Gray. Ada pun langkah yang dilakukan adalah melakukan pengecekan data masuk WNA dengan nama lengkap Kristen Antoinette Gray yang masuk ke wilayah Indonesia pada 21 Januari 2020 pukul 23:04:54 WITA melalui Bandara Internasional I Gusti Ngurah Rai.

Selanjutnya Kristen Antoinette Gray melakukan perpanjangan izin tinggal pada Kantor Imigrasi Kelas I TPI Denpasar pada 22 Desember 2020 yang berlaku sampai dengan 24 Januari 2021. Setelah dilakukan pengecekan oleh Petugas Imigrasi ditemukan sponsor Kristen Antoinette Gray yang bernisial IGW yang beralamat di daerah Ubud dan dilakukan pengecekan lapangan pada 18 Januari 2021. Pada 19
Januari 2021, kami melakukan panggilan melalui sponsor terhadap Kristian Antoinette Gray untuk dapat hadir ke Kantor Imigrasi Kelas I TPI Denpasar guna dilakukan pemeriksaan lebih lanjut, ujarnya di Denpasar, Selasa (19/1/2021).

Menurutnya, cuitan akun twitter @kristentootie yang mengajak WNA untuk
pindah ke Bali saat pandemi bertentangan dengan Surat Edaran Kepala Satgas Penanganan COVID-19 Nomor 2 Tahun 2021 Tentang Protokol Kesehatan Perjalanan Internasional Dalam Masa Pandemi COVID-19 serta Surat Edaran Direktur Jenderal Imigrasi Nomor: IMI-0103.GR.01.01 Tahun 2021 tentang Pembatasan Sementara Masuknya Orang Asingke Wilayah Indonesia Dalam Masa Pandemi COVID-19. Dari hasil pemeriksaan yang dilakukan oleh Kantor Imigrasi Kelas I TPI Denpasar diduga WNA dimaksud telah menyebarkan informasi yang dianggap dapat meresahkan masyarakat. Informasi sesat tersebu antara lain soal LGBTQF (queer friendly) dimana di Provinsi Bali memberikan kenyamanan dan tidak dipermasalahkan bagi kaum LGBT.

Kemudian ada juga informasi tentang kemudahan akses masuk ke wilayah Indonesia pada masa pandemi dengan sangat mudah melalui agen yang ia rekomendasikan. Sehingga patut diduga melanggar pasal 75 ayat 1 Undang-undang Nomor 6 Tahun 2011 tentang Keimigrasian yang berbunyi :
Pejabat Imigrasi berwenang melakukan Tindakan Administratif Keimigrasian terhadap Orang Asing yang berada di Wilayah Indonesia yang melakukan kegiatan berbahaya dan patut diduga membahayakan keamanan dan ketertiban umum atau tidak menghormati atau tidak menaati peraturan perundang-undangan.

Selain hal tersebut, WNA dimaksud diduga melakukan kegiatan bisnis melalui penjualan e-book dan pemasangan tarif konsultasi wisata Bali sehingga dapat dikenakan sanksi sesuai pasal 122 huruf a Undang-undang Nomor 6 Tahun 2011 tentang Keimigrasian yang berbunyi, Setiap Orang Asing yang dengan sengaja menyalahgunakan atau melakukan kegiatan yang tidak sesuai dengan maksud dan tujuan pemberian Izin tinggal yang diberikan kepadanya.

WNA Amerika atas nama Kristen Antoinette Gray dikenakan Tindakan Administratif Keimigrasian berupa pendeportasian (pengusiran) sebagaimana tersebut pada pasal 75 ayat 1 dan ayat 2 huruf f Undang-undang Nomor 6 Tahun 2011 tentang Keimigrasian. (OL-13)

Baca Juga: Hukuman Jerinx Didiskon 4 Bulan dalam Putusan Banding",KANTOR Wilayah Hukum dan HAM Bali melakukan upaya hukum terhadap seorang warga negara asing bernama Kristen Gray. WNA asal Amerika ini menyebutkan jika Bali adalah destinasi murahan dan ramah bagi,https://mediaindonesia.com/read/detail/378383-sebut-bali-ramah-lgbt-kristeb-gray-ditangkap-aparat,2021-01-19 23:55:19
2,Uji klinis Awal Sebut Vaksin Covid-19 Rusia 100% efektif,"s kesehatan konsumen di Rusia, Rospotrebnadzor, mengumumkan bahwa kandidat vaksin Covid-19 buatan Vector Institute, yang diberi nama EpiVacCorona, terbukti efektif 100 persen jika merujuk pada hasil uji klinis tahap awal.

Data uji klinis tahap I dan tahap II EpiVacCorona telah diumumkan ke publik sebelum uji klinis tahap III dimulai. Uji klinis tahap III merupakan tahapan terakhir uji coba vaksin ke manusia yang umumnya melibatkan ribuan peserta sebagai relawan, serta sekelompok peserta yang akan menerima suntikan kosong atau plasebo.

Efektivitas vaksin ini dilihat dari tingkat efektivitas pada kekebalan tubuh dan kemampuannya mencegah penyakit, kata Rospotrebnadzor sebagaimana dikutip dari kantor berita TASS.

Menurut hasil uji klinis tahap I dan tahap II, efektivitas EpiVacCorona terhadap kekebalan tubuh mencapai 100 persen, kata lembaga tersebut.

Uji klinis tahap I dan tahap II menguji keamanan vaksin dan memeriksa efek samping serta kemampuan vaksin menciptakan kekebalan pada tubuh. Uji coba itu melibatkan 100 relawan berusia 18-60 tahun.

Umumnya, evaluasi terhadap uji klinis tahap awal vaksin dilakukan dengan melihat hasil tes darah peserta. Namun pada uji klinis tahap III atau terakhir evaluasi dilakukan dengan mengamati tingkat penularan pada peserta uji klinis di kehidupan mereka sehari-hari.

Rusia mulai menguji coba EpiVacCorona pada November 2020.

Moskow pada awal November 2020 mengatakan kandidat vaksin lainnya, Sputnik V, terbukti 92 persen efektif jika merujuk pada evaluasi hasil sementara uji klinis tahap III.

Pemerintah Rusia mengatakan pihaknya dapat memvaksin Covid-19 sebesar 60 persen dari total penduduknya pada tahun ini. Meskipun persediaan Sputnik V cukup banyak di Moskow, distribusinya ke daerah-daerah relatif lambat.

Presiden Rusia Vladimir Putin memerintahkan vaksinasi massal segera dilakukan pada minggu ini.

EpiVacCorona akan digunakan untuk vaksinasi massal mulai Maret 2021, kata Wakil Perdana Menteri Rusia, Tatiana Golikova, saat diwawancarai oleh kantor berita Interfax.

Rusia sejauh ini menempati urutan keempat untuk kasus positif Covid-19 terbanyak dunia dengan total 3.612.800 pasien positif. Jumlah korban jiwa akibat Covid-19 di Rusia mencapai 66.623 orang. (Ant/OL-12)","Badan pengawas kesehatan konsumen di Rusia, Rospotrebnadzor, mengumumkan bahwa kandidat vaksin Covid-19 buatan Vector Institute, yang diberi nama EpiVacCorona, terbukti efektif 100 persen jika merujuk",https://mediaindonesia.com/read/detail/378380-uji-klinis-awal-sebut-vaksin-covid-19-rusia-100-efektif,2021-01-19 23:38:20
3,Masyarakat Harus Disiplin Terapkan Protokol Kesehatan,"ologi Fakultas Kesehatan Masyarakat Universitas Indonesia Tri Yunis Miko Wahyono menilai belum patuhnya masyarakat terhadap protokol kesehatan menjadi penyebab tingginya jumlah kasus covid-19.

Kasus covid-19 itu meningkat banyak karena masyarakatnya memang abai terhadap protokol kesehatan, kata Tri, Selasa (19/1).

Masyarakat pun diimbau terus menjalankan kebijakan pemberlakuan pembatasan kegiatan masyarakat (PPKM) dan protokol kesehatan.

Pemerintah sendiri telah memberlakukan PPKM di Jawa-Bali mulai 11-25 Januari sebagai respons atas tingginya kasus covid-19 di Tanah Air. Pembatasan berlaku di beberapa wilayah yang memenuhi kriteria yang sudah pemerintah tetapkan.

Menurut Tri, PPKM yang sekarang berlaku masih skala ringan. Kalau melihat kondisi saat ini, dia menilai perlu PPKM skala berat. Per 18 Januari, kasus positif covid-19 di Indonesia sudah mencapai 917.015.

Kalau berat itu lockdown, kalau sedang itu PSBB dengan pembatasan sosial yang tinggi, pembatasan sosial bekerja, semuanya harus dibatasi, ujar Tri.

Baca juga:Jawa Barat Sosialisasikan Disiplin Protokol Kesehatan Lewat Film

Menurut dia, pembatasan jumlah pekerja masih perlu. Bahkan Tri mengusulkan pegawai yang masuk kerja harus di bawah 25%. Dia berharap semua kalangan disiplin menerapkan kebijakan dari pemerintah dan protokol kesehatan. Kalau tidak, kasus positif akan terus meningkat.

PPKM ini sudah benar. Tapi jika tidak PSBB sedang atau berat, kasusnya akan terus meningkat. Jadi, pemerintah harus serius PSBB sedang atau berat, tegas Tri.

Epidemiolog Fakultas Kedokteran, Kesehatan Masyarakat, dan Keperawatan Universitas Gadjah Mada Riris Andono Ahmad juga mengatakan meningkatnya kasus positif covid-19 bisa karena masyarakat tidak disiplin menerapkan PPKM dan protokol kesehatan. Bisa kombinasi dari itu, tutur Riris.

Menurut dia, mobilitas masyarakat harus dikurangi untuk menekan kasus positif covid-19. Mobilitas adalah faktor utama penularan. Agar penuluran menurun mobilitas harus dikurangi, kata Riris. (R-3)",PAKAR epidemiologi Fakultas Kesehatan Masyarakat Universitas Indonesia Tri Yunis Miko Wahyono menilai belum patuhnya masyarakat terhadap protokol kesehatan menjadi penyebab tingginya jumlah kasus covid-19.,https://mediaindonesia.com/read/detail/378379-masyarakat-harus-disiplin-terapkan-protokol-kesehatan,2021-01-19 23:35:43
4,Belasan Motor Bodong dari Jawa Gagal Diselundupkan ke Flotim,"it sepeda motor bodong atau tanpa dilengkapi surat-surat dari Jawa, yang hendak dikirim ke Kabupaten Flores Timur (Flotim) diamankan Polres Sikka, Kabupaten Sikka, Nusa Tenggara Timur, Selasa (19/1).

Pengamatan mediaindonesia.com, sepeda motor bodong tersebut dimuat dalam satu mobil truk ekspedisi bernama Solo Jaya Ekspres dengan nomor polisi AD 1768 CU. Truk tersebut digiring ke Mapolres Sikka untuk dilihat muatan isisnya.

Belasan motor bodong alias tanpa STNK dan BPKB itu diturunkan oleh beberapa orang dari mobil truk ekspedisi itu. Selanjutnya sepeda motor yang masih di packing dengan kardus itu diletakan di halaman Polres Sikka, disaksikan oleh Kasat Lantas Polres Sikka Iptu Diamond Romansa Bangun.

Dari informasi yang dihimpun mediaindonesia.com, sepeda motor tersebut diduga berasal dari Jawa. Diturunkan di pelabuhan di Labuan Bajo, Kabupaten Manggarai Barat. Kemudian melanjutkan perjalanan lewat jalur darat dengan tujuan Labuan Bajo- Kabupaten Flores Timur.

Namun, truk ekspedisi yang mengangkut sepeda motor ini berhasil ditangkap oleh anggota lantas Polres Sikka dan digiring ke halaman Polres Sikka. Rencannya puluhan motor tersebut rencananya akan dikirimkan ke Kabupaten Flores Timur.

Salah satu sopir mobil truk ekspedisi asal Sragen, Jawa Tengah, Marji mengaku hanya sebagai sopir tembak dan tidak mengetahui muatan yang ada dalam mobil ekspedisi tersebut.

Saya hanya sopir tembak. Saya juga tidak tahu muatannya apa saja. Saya nggak tahu kalau muatannya motor. Namanya saya butuh kerjaan saya bawa saja pak, kata Marji

Sementara itu, Kapolres Sikka, AKBP Sajimin kepada mediaindonesia.com mengatakan setelah melakukan penyelidikan ada 16 unit sepeda motor tanpa dokumen. Ia mengatakan berdasarkan keterangan sopir, sepeda motor ini berasal dari Surakarta yang diberangkatkan dari Surabaya langsung menuju ke Nusa Tenggara Timur dan tiba di pelabuhan yang ada di Labuan Bajo

Kita masih mencari siapa pemilik sepeda motor tanpa dokumen ini dan minta keterangan sopir dan kenek dulu. Kita masih melakukan penyelidikan, ungkap Kapolres Sikka Sajimin. (OL-13)

Baca Juga: Hukuman Jerinx Didiskon 4 Bulan dalam Putusan Banding","SEKITAR 16 unit sepeda motor bodong atau tanpa dilengkapi surat-surat dari Jawa, yang hendak dikirim ke Kabupaten Flores Timur (Flotim) diamankan Polres Sikka, Kabupaten Sikka, Nusa Tenggara Timur,",https://mediaindonesia.com/read/detail/378378-belasan-motor-bodong-dari-jawa-gagal-diselundupkan-ke-flotim,2021-01-19 23:35:05
5,Citilink Layani Penerbangan Padang-Medan Empat Kali dalam Sepekan,"ar Udara Internasional Kualanamu (KNIA) di Deli Serdang, Sumatra Utara, mengatakan maskapai penerbangan Citilink melayani rute penerbangan Padang-Medan pergi pulang selama empat kali dalam sepekan.

Kita ada tambahan rute penerbangan Medan-Padang menjadi dua maskapai yakni Lion Air dan Citilink, ungkap Pelaksana tugas (Plt) Manajer Komunikasi dan Hukum KNIA, Fajri Ramdhani di Medan, Selasa (19/1).

Rute penerbangan Padang-Medan, lanjut dia, kini dilayani oleh Citilink yang merupakan anak usaha Garuda Indonesia setiap hari Senin, Selasa, Kamis, dan Sabtu.

Ia mengatakan pembukaan rute itu telah dilakukan oleh maskapai penerbangan tersebut sejak pekan lalu atau tepatnya Kamis (14/1), dengan menggunakan pesawat Airbus A320.

Secara otomatis pembukaan rute ini diharapkan dapat meningkatkan konektivitas antar-kedua kota di Sumatera yang saling bertetangga tersebut, terang Fajri.

VP Corporate Secretary and CSR Citilink Resty Kusandarina pekan lalu menyebut pihaknya membuka rute penerbangan baru Padang-Balikpapan dan Balikpapan-Manado mulai 13 Januari 2021 serta Padang-Medan mulai 14 Januari 2021.

Dibukanya rute penerbangan baru ini, diharapkan dapat meningkatkan konektivitas antar-Sumatera-Kalimantan dan Sumatera-Sulawesi, sehingga dapat memberikan kemudahan bagi masyarakat Padang yang akan bepergian menggunakan transportasi udara menuju Kalimantan dan Sulawesi maupun sebaliknya, terangnya. (Ant/OL-12)","Otoritas Bandar Udara Internasional Kualanamu (KNIA) di Deli Serdang, Sumatra Utara, mengatakan maskapai penerbangan Citilink melayani rute penerbangan Padang-Medan pergi pulang selama empat kali dalam",https://mediaindonesia.com/read/detail/378369-citilink-layani-penerbangan-padang-medan-empat-kali-dalam-sepekan,2021-01-19 23:30:00
6,40 Ton Beras Diangkut dari Sulteng dengan Tol Laut ke Sulut,"kut Logistik Tol Laut KM Kendhaga Nusantara 13 mengangkut sekaligus memasarkan 40 ton beras hasil produksi petani Parigi Moutong, Sulawesi Tengah ke Provinsi Sulawesi Utara.

Kapal logistik Tol Laut melayani sejumlah rute pelayaran yang ada di di kawasan Teluk Tomini dan Pelabuhan Bitung, Sulut, dan kebanyakan produk hasil bumi masyarakat di kabupaten ini menyasar pasar Sulut, kata Kepala Pelabuhan kelas tiga Parigi Abd Faisal AB Pontoh yang ditemui, di Parigi, Selasa (19/1).

Program Tol Laut yang dicanangkan Presiden Republik Indonesia Joko Widodo bertujuan untuk menghubungkan pengangkutan logistik antarpulau dalam rangka memajukan Indonesia dari pinggiran untuk peningkatan pendapatan daerah maupun Nasional.

Pelabuhan kelas tiga Parigi, hingga kini baru melayani sekitar empat kali pengangkutan barang, karena program tol laut baru masuk pada pertengahan 2020, berbeda dengan pelabuhan di Kecamatan Tinombo yang sudah melayani angkutan logistik dua tahun terakhir.

Saat ini, tol laut telah melayani rute Provinsi Gorontalo, Bitung, Sulawesi Utara, Pelabuhan Pagimana, Kabupaten Banggai, Pelabuhan Ampana, Tojo Una-Una dan Pelabuhan Parigi serta Pelabuhan Tinombo, Parigi Moutong, Sulteng.

Hadirnya program tol laut, diharapkan dapat dimanfaatkan dan menjadi pemerintah setempat dan pelaku usaha lokal sebagai alternatif, di samping itu biaya transportasi menggunakan tol laut relatif lebih murah karena mendapat jaminan subsidi pemerintah, ujar Faisal.

Ke depan pihak Pelabuhan Parigi dan pemerintah setempat berupaya membuka rute Kalimantan Timur, agar pengusaha lokal Parigi Moutong dapat memasarkan produk mereka secara regional.

Saat ini muat ulang barang di Pelabuhan Parigi masih komoditas beras, dan barang masuk didominasi air mineral, ucap Faisal.

I Made Sukanto, salah seorang distributor lokal yang menggunakan jasa angkut melalui tol laut mengatakan, pengiriman beras ke pasar Sulut rata-rata sekitar 200 ton bersumber dari hasil bumi warga Desa Tolai Timur, Kecamatan Balinggi yang menjadi salah satu sentra komoditas padi di kabupaten tersebut.

Dalam sebulan kapal angkut logistik bersandar di Pelabuhan Parigi dua kali. Pengiriman beras saat ini hanya 40 ton, dan biasanya pengiriman rutin sekitar 200 ton dengan biaya transportasi lebih hemat 60 persen, ujar Made.

Ia juga berharap, pemerintah setempat dapat menyerap hasil produk petani dan membuka peluang pasar di daerah lain. (Ant/OL-12)","Kapal pengangkut Logistik Tol Laut KM Kendhaga Nusantara 13 mengangkut sekaligus memasarkan 40 ton beras hasil produksi petani Parigi Moutong, Sulawesi Tengah ke Provinsi Sulawesi Utara. Kapal",https://mediaindonesia.com/read/detail/378376-40-ton-beras-diangkut-dari-sulteng-dengan-tol-laut-ke-sulut,2021-01-19 23:21:42
7,"Kolaborasi KPK-BPN-PLN Riau Selamatkan Aset Tanah Senilai Rp110,7M","tara PT PLN (Persero), Komisi Pemberantasan Korupsi (KPK), serta Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN) terus berlanjut guna mempercepat pengamanan aset yang dimiliki perseroan. Secara akumulatif di Riau hingga pertengahan januari 2021, total penyelamatan aset dari senergitas ini mencapai 982 sertifikat dari 2.948 bidang tanah.

Ratusan Sertifikat tersebut diserahkan secara simbolis oleh Kepala Kantor Wilayah (Kakanwil) ATR/BPN Riau M. Syahrir kepada General Manager PT PLN (Persero) Unit Induk Wilayah Riau dan Kepulauan Riau (UIW RKR) Dispriansyah. Penyerahan ini disaksikan langsung oleh Direktur Koordinasi dan Supervisi Wilayah 1 KPK Brigjen Didik Agung Widjanarko di The Premiere Hotel Pekanbaru, Selasa (19/1)

Kepala Kanwil ATR/BPN Riau Syahrir mengatakan pihaknya memberikan apresiasi kepada PT PLN (Persero) atas sinergi ini sehingga sertifikat yang terbit sangat signifikan.

Namun dalam proses Sertifikasi ini kami pun mengalami kendala yang menghambat proses pensertifikatan. Diantaranya, lambatnya proses tanda tangan warga untuk sepadan serta Kepala Desa yang tidak mau tanda tangan dokumen tanah karena beliau tidak menjabat sebagai Kepala Desa pada saat itu. Selain itu, beberapa kendala dari pemerintahan kota Pekanbaru, jelas Syahrir.

General Manager PT PLN (Persero) UIW RKR Dispriansyah mengatakan kerja sama sertifikat tanah adalah bentuk dari kerja keras, kerja cerdas dan kerja Ikhlas dari semua untuk mengamankan dan memelihara aset negara.

PT PLN menargetkan sertifikasi di provinsi Riau pada tahun 2021 ini dapat tercapai sebanyak 2.249 sertifikat. Untuk itu kami akan menyegerakan dokumen-dokumen yang diminta BPN untuk mempercepat proses pensertifikatan, ujarnya.

Direktur Koordinasi dan Supervisi Wilayah 1 KPK Brigjen Didik Agung Widjanarko mengatakan demi membantu proses kolaborasi lembaga agar proses menyurat ke pemerintahan Kota Pekanbaru dengan tembusan ke KPK. Sehingga kami akan turun untuk permasalahan ini, jelas Agung.

Menurutnya, berkat sinergi antara PLN, KPK, dan BPN, nilai aset tanah yang telah diselamatkan lebih dari Rp100 miliar.

Langkah strategis kolaborasi dan sinegitas antar lembaga itu merupakan tindak lanjut dari penandatanganan MoU antara Direktur Utama PT PLN (Persero) dengan Menteri ATR/BPN pada 12 November 2019 dan penandatangan PKS antara General Manager Unit Induk PLN se-Indonesia dengan Kepala Kantor Wilayah Kementerian ATR/BPN di seluruh Indonesia pada 27 November 2019 lalu.(RK/OL-10)","Kolaborasi antara PT PLN (Persero), Komisi Pemberantasan Korupsi (KPK), serta Agraria dan Tata Ruang/Badan Pertanahan Nasional (ATR/BPN) terus berlanjut guna mempercepat pengamanan aset yang dimiliki",https://mediaindonesia.com/read/detail/378373-kolaborasi-kpk-bpn-pln-riau-selamatkan-aset-tanah-senilai-rp1107m,2021-01-19 23:10:54
8,Hukuman Jerinx Didiskon 4 Bulan dalam Putusan Banding,"de Ary Astina alias Jerinx mendapat keringanan hukuman dalam putusan banding dari Pengadilan Tinggi, Bali. Drumer band Superman Is Dead itu hukumannya dipotong empat bulan dari putusan pengadilan negeri.

Putusan tersebut telah diterima oleh kuasa hukumnya I Wayan Gendo Suardana di Pengadilan Negeri Denpasar, Selasa (19/1/2021).

Menurut Gendo, sebenarnya banding yang dilakukan oleh Jaksa Penuntut Umum (JPU) dan banding yang dilakukan oleh tim kuasa hukum Jerinx sudah dipertimbangkan oleh majelis hakim di Pengadilan Tinggi Bali.

Kami baru diberitahu tadi pagi untuk mengambil salinan putusan banding. Padahal putusan sudah keluar sejak 14 Januari 2021 atau sudah 5 hari lalu, ujarnya.

Berdasarkan putusan hakim di PT Bali, dikatakan bahwa Jerinx tetap dinyatakan bersalah dan putusan banding tetap menguatkan putusan di PN Denpasar atau pengadilan tingkat pertama. Putusan tersebut dilakukan pada tanggal 14 Januari 2021 berdasarkan musyawarah hakim yang menguatkan putusan pengadilan tingkat pertama.

Menurut Gendo, vonis penjaranya dikurangi 4 bulan dari total hukuman di pengadilan di tingkat pertama yakni selama 14 bulan. Artinya, musisi SID tersebut dikurangi 4 bulan sehingga tinggal menjalani hukuman selama 10 bulan.

Kami mengapresiasi kepada hakim di PT, yang sudah mengurangi masa hukuman Jerinx selama 4 bulan sehingga tinggal 10 bulan. Namun, kami tetap pada pendapat hukum kami bahwa Jerinx sesungguhnya tidak bersalah dan berhak untuk bebas. Sebab Jerinx tidak secara sah dan meyakinkan melakukan ujaran kebencian seperti yang dituduhkan selama ini, tegasnya

Baca Juga: Koster Sebut Jerinx Pengecut, Jerinx Jawab Itu Haknya

Dalam teori hukum pidana, menurut Gendo, tindakan Jerinx tidak bisa dikatakan ujaran kebencian karena tidak mendegradasi kelompok atau golongan tertentu. Sebab, IDI bukanlah kelompok yang rentan terhadap ujaran kebencian dan tidak termasuk dalam satu kelompok, suku, agama tertentu.

Terhadap vonis banding ini, menurut Gendo, timnya akan berkoordinasi dengan Jerinx apa langkah hukum selanjutnya. Kami akan berkoordinasi terlebih dahulu kepada klien kami Jerinx, apakah yang akan dilakukan setelah menerima keputusan ini. Apakah mau dilanjutkan ke tahapan berikutnya semuanya kami serahkan ke Jerinx, ujar Gendo.

Berdasarkan pengalaman sebelumnya, bila JPU melakukan upaya kasasi maka pihaknya akan melakukan upaya hukum selanjutnya. Itu semua tergantung klien. Sebaliknya bila klien menerima keputusan ini maka tidak ada lagi langkah hukum selanjutnya.

Seperti diketahui terdakwa kasus ujaran kebencian terhadap IDI Bali I Gede Ary Astina alias Jerinx SID dinyatakan selama 10 bulan penjara dan denda Rp10 juta dan subsider 1 bulan kurungan dikurangi selama terdakwa dalam masa penahanan. Berkas putusan banding tersebut diterima PN Denpasar pada 14 Januari 2021.

Jika dalam waktu tujuh hari dari pihak JPU maupun penasihat hukumnya tidak mengajukan kasasi melewati batas waktu tujuh hari maka keputusan tersebut berkekuatan hukum tetap. 

Terdakwa Jerinx saat ini ditahan di Lembaga Pemasyarakatan Kelas IIA Kerobokan, Badung. Sebelumnya pada (19/11/2020) majelis hakim PN Denpasar yang diketuai lda Ayu Adnya Dewi memvonis terdakwa I Gede Ary Astina alias Jerinx dengan hukuman satu tahun dua bulan penjara. (OL-13)

Baca Juga: Jerinx Menangis Divonis 1 Tahun 2 Bulan Denda Rp10 Juta","TERDAKWA I Gede Ary Astina alias Jerinx mendapat keringanan hukuman dalam putusan banding dari Pengadilan Tinggi, Bali. Drumer band Superman Is Dead itu hukumannya dipotong empat bulan dari putusan",https://mediaindonesia.com/read/detail/378372-hukuman-jerinx-didiskon-4-bulan-dalam-putusan-banding,2021-01-19 23:10:09
9,Kelebihan Listrik Sumsel Disalurkan untuk Jambi dan Lampung,"rgi listrik dari pembangkit listrik di wilayah Sumatra Selatan hingga 2021 ini masih disalurkan ke provinsi tetangga yang mengalami kekurangan energi listrik pada saat beban puncak malam hari.

Kelebihan energi listrik Sumsel disalurkan untuk membantu menerangi wilayah dua provinsi tetangga seperti Jambi dan Lampung yang saat ini masih kekurangan energi listrik, kata Manager Perencanaan PT PLN Unit Induk Wilayah Sumsel, Jambi, dan Bengkulu (S2JB), Muhammad Syafdinnur di Palembang, Selasa (19/1).

Sumsel memiliki kelebihan energi listrik sekitar 450 megawatt pada saat beban puncak sedangkan di Jambi dan Bengkulu mengalami kekurangan energi listrik yang diatasi dari kelebihan energi listrik tersebut.

Pembangkit di Sumsel memiliki kapasitas terpasang 1.451 megawatt, energi listrik yang tersedia tersebut hanya terpakai 1.005 MW ketika beban puncak.

Sedangkan di Jambi pembangkit listriknya hanya memiliki kapasitas daya terpasang 170 MW atau mengalami kekurangan energi listrik karena pada saat bebeban puncak kebutuhan listrik untuk pelanggan rumah tangga, bisnis, dan industri mencapai 338 MW.

Kemudian di Lampung pembangkit listriknya hanya memiliki kapasitas daya terpasang 682 MW atau mengalami kekurangan energi listrik pada saat bebeban puncak yang membutuhkan 827 MW.

Selain ke Jambi dan Lampung, kelebihan energi listrik sekitar 450 MW disalurkan ke provinsi lainnya yang berada dalam satu sistem interkoneksi kelistrikan Sumatera.

Untuk menjamin pelayanan listrik kepada pelanggan tetap berjalan dengan baik, pihaknya berupaya menjaga keandalan pembangkit, transmisi, dan gardu induk dengan melakukan perawatan berkala, ujarnya. (Ant/OL-12)",Kelebihan energi listrik dari pembangkit listrik di wilayah Sumatra Selatan hingga 2021 ini masih disalurkan ke provinsi tetangga yang mengalami kekurangan energi listrik pada saat beban puncak,https://mediaindonesia.com/read/detail/378371-kelebihan-listrik-sumsel-disalurkan-untuk-jambi-dan-lampung,2021-01-19 23:09:49
